rep,duration,peak_accel,peak_vel,peak_power,velocity_loss_%
1,0.81,2.996,0.294,35.9,0.0
2,1.0,3.69,0.346,59.0,-17.9
3,0.82,6.222,0.42,85.4,-42.9
4,0.66,6.803,0.666,213.9,-126.9
